,feature-0014,feature-0029,feature-0031,feature-0035,feature-0057,feature-0061,feature-0082,feature-0282,feature-0304,feature-0345,feature-0350,feature-0367,feature-0411,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0573,feature-0579,feature-0598,feature-0697,feature-0703,feature-0764,feature-0853,feature-0856,feature-0938,feature-0972,feature-1024,feature-1054,feature-1088,feature-1136,feature-1137
Sample_0031_LCa,13.8738914090159,7740.06911580213,3426.57091133942,7236.07734143862,120.702075582343,1218.67335768311,189.249340357013,247.250629668951,2252.99176070568,9.02265590967047,240.1646,141.838947696022,108.317860395874,670.918723923204,23.7566219233528,19.2294124519583,55.55096800004001,179.9768,16.743927268748802,11.869036410643899,25172.3282770189,794.947978911189,59.96678008202699,51566.010063122005,78654.36,115.498816274161,3017.03192133755,221.1669,20.9421590047581,129.344958781322,367.711492944881,12797.1981939553,4221.13135958984
Sample_0032_Non-LCa,11.915735402430698,2528.24715689304,593.611671150147,2381.82495074225,132.276438599231,863.3128913421291,380.31069337108596,294.42909455968,3017.03192133755,11.059758243898301,54.56038,62.300417654270895,163.148218388304,355.83225493626196,13.2253905883902,9.80679566491022,66.15083665720671,184.5124,10.069006581959,17.3197367433902,15579.7185045868,762.428505477662,91.4024163082272,30177.155110164702,64155.52,61.140044682319704,1454.2120600298301,93.23252,18.929495518547398,285.644299486775,421.616342639836,4537.8041803052,19451.7634340127
Sample_0033_LCa,29.470252994257898,3921.6220505032898,2675.90952004589,1166.319710388,406.817520865886,322.93778558439203,1272.8461432081501,148.386196474162,15579.7185045868,10.7163885634786,57.67943,135.366272230162,470.136339529948,144.962771302323,240.16460485053398,11.059758243898301,48.214860646833,82.57323000000001,16.2140417724928,13.3504190681825,19451.7634340127,93.2325163220042,204.27935851752102,4537.8041803052,97451.08,33.9919149586442,7236.07734143862,39.19984,17.8156196948293,10.4746808792755,118.082862653931,8877.773220715459,1750.45738445436
Sample_0034_Non-LCa,11.915735402430698,487.995813577437,155.432605771302,355.83225493626196,93.2325163220042,115.498816274161,9512.63251640146,42.3339257305628,21787.9921465462,12.392569556608601,21.533,15.367324956266902,79.29904113099771,67.4421170742017,80.92728963512499,10.533920673207302,15.1927798471149,68.84945,9.881445720745381,11.734601700518802,14023.704006208798,28.7478453470677,39.19984070009,2675.90952004589,41952.03,17.6871278044712,7740.06911580213,15.5431,11.869036410643899,189.249340357013,34.456609647429296,1272.8461432081501,5192.81196468206
Sample_0035_Non-LCa,11.441229383543801,828.206379102171,570.7599181686061,3017.03192133755,135.366272230162,254.386329233115,1391.28404036806,89.5531062052935,19451.7634340127,9.842942819966071,42.33393,45.1057662473435,198.98066007321603,110.678700681952,53.56975546946779,11.0231601275533,33.0825684225088,52.624269999999996,13.2253905883902,14.9392569521354,7740.06911580213,155.432605771302,87.75367829290221,12797.1981939553,51566.01,29.824640242979303,4537.8041803052,41.03386,16.9676906040049,506.22737675109397,85.9317731824274,2252.99176070568,6759.71221132047
Sample_0036_Non-LCa,18.0849130469846,3662.82923824221,322.93778558439203,2528.24715689304,453.228853936807,863.3128913421291,1218.67335768311,108.317860395874,5545.81215932176,10.7820364382658,46.63559,34.9395235885405,380.31069337108596,355.83225493626196,79.29904113099771,7.3125447449605705,56.5822168314823,138.5324,8.53049335844454,8.99385637724984,21787.9921465462,421.616342639836,87.75367829290221,19451.7634340127,97451.08,71.7014519753727,2842.7863457124104,25.61455,10.338618829889901,105.98660692426,148.386196474162,5923.63670499261,4852.0476758985
Sample_0037_Non-LCa,15.5430998734818,1166.319710388,618.348622385677,1836.0739251549398,155.432605771302,233.49665564520802,943.2734728139619,79.29904113099771,12797.1981939553,11.869036410643899,37.51425,63.5475958878296,209.703574502162,105.98660692426,77.74548898454009,10.2083415548848,29.470252994257898,87.75368,10.090970678447501,12.442594895297301,15579.7185045868,91.4024163082272,97.2755682163848,8877.773220715459,97451.08,22.376270287449998,6759.71221132047,28.40597,13.671945938420901,93.2325163220042,68.8494526972984,2842.7863457124104,4852.0476758985
Sample_0038_Non-LCa,16.6352748400915,233.49665564520802,215.350500234005,548.538167069048,179.976799311603,97.2755682163848,19451.7634340127,59.96678008202699,30177.155110164702,19.7141512717048,29.47025,33.5267910760004,277.392560305038,42.3339257305628,41.6694090892834,9.52180015022916,24.5196478039582,48.214859999999994,9.40686571654418,12.392569556608601,6332.11299992453,36.4506124310931,115.498816274161,1454.2120600298301,41952.03,20.0477092606933,8877.773220715459,21.32903,15.1927798471149,1667.73858489636,45.1057662473435,593.611671150147,7236.07734143862
Sample_0039_Non-LCa,11.778666521756001,5192.81196468206,1218.67335768311,10899.865321385601,943.2734728139619,984.1936777813651,1331.1921790084,175.60827454870602,7740.06911580213,9.04619779434618,33.082570000000004,45.870562930770504,2381.82495074225,113.066057970613,57.679426916205394,8.80878093810987,148.386196474162,179.9768,8.860269731844731,74.63634275904091,64155.5161261962,80.92728963512499,1272.8461432081501,51566.010063122005,97451.08,21.7338074902033,2030.9856345440198,25.89271,67.4421170742017,184.512439305276,367.711492944881,8877.773220715459,1836.0739251549398
Sample_0040_Non-LCa,11.3620645914267,570.7599181686061,643.661923473448,1391.28404036806,48.214860646833,179.976799311603,2528.24715689304,97.2755682163848,21787.9921465462,40.4159359410456,46.63559,38.073202839490705,101.53100011269699,74.63634275904091,30.1907616163388,10.7820364382658,23.7566219233528,42.33393,11.6916138044259,11.481834337226,10899.865321385601,59.96678008202699,52.6242704202596,5923.63670499261,51566.01,29.824640242979303,6332.11299992453,43.68908,12.928830457927699,261.77233759056196,66.15083665720671,1454.2120600298301,8308.73480684338
